Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
1.0,1.0340513096259837e-05,1.0,1,17.0,142.0,2018,886000.0,2018,7,2179,21.0,4.0,6
4.0,2e-05,1.0,1,9.0,89.0,2016,550000.0,2016,5,1197,17.19,4.0,8
4.0,3.295435821387378e-05,1.0,1,26.0,228.0,2019,327000.0,2019,5,799,22.25,4.0,5
1.0,7.798365462599039e-06,0.0,1,29.0,270.0,2016,1775000.0,2016,7,2982,12.55,4.0,8
4.0,1.851234773593987e-05,1.0,1,8.0,68.0,2017,487000.0,2017,5,1199,17.5,4.0,7
1.0,3.124316555753429e-05,1.0,1,9.0,84.0,2016,612000.0,2016,5,1582,23.9,4.0,8
4.0,1e-05,1.0,1,9.0,87.0,2015,310000.0,2015,5,1086,19.81,4.0,9
4.0,3.3333333333333335e-05,1.0,2,9.0,80.0,2014,245000.00000000003,2014,5,1086,17.92,4.0,10
1.0,1.5048456028411485e-05,0.0,1,31.0,294.0,2018,1980000.0,2018,5,2400,19.6,4.0,6
1.0,2.5835787733167984e-05,0.0,1,31.0,299.0,2021,4500000.0,2021,5,2400,11.2,4.0,3
4.0,1.25e-05,1.0,1,8.0,62.0,2018,650000.0,2018,5,1497,17.4,4.0,6
4.0,1.6666666666666667e-05,1.0,1,9.0,84.0,2015,750000.0,2015,5,1591,17.01,4.0,9
4.0,8.333333333333334e-06,1.0,1,9.0,89.0,2016,500000.0,2016,5,1197,17.19,4.0,8
1.0,6.666666666666667e-06,1.0,2,2.0,33.0,2012,720000.0,2012,1,2499,12.2,4.0,12
1.0,5.2631578947368424e-05,1.0,1,8.0,62.0,2017,790000.0,2017,5,1498,26.0,4.0,7
1.0,3.846153846153846e-06,1.0,1,29.0,274.0,2012,645000.0,2012,7,2494,12.8,4.0,12
4.0,1.3975849731663685e-05,1.0,1,8.0,62.0,2014,403000.0,2014,5,1497,17.4,4.0,10
4.0,1.537539015052507e-05,1.0,2,9.0,76.0,2015,301000.0,2015,5,1197,18.9,4.0,9
4.0,1.3591019054608715e-05,1.0,1,26.0,228.0,2019,359000.0,2020,5,999,23.01,4.0,5
4.0,3.681885125184094e-05,0.0,1,9.0,79.0,2021,511000.00000000006,2021,5,1086,20.3,4.0,3
4.0,2.777777777777778e-05,1.0,1,9.0,88.0,2017,425000.0,2017,5,1197,18.6,4.0,7
4.0,1.185297568954686e-05,1.0,1,9.0,76.0,2014,277000.0,2014,5,1197,18.9,4.0,10
4.0,3.067578760084665e-05,1.0,1,20.0,159.0,2019,750000.0,2019,7,1462,19.01,4.0,5
4.0,2.1039343572480537e-05,1.0,1,26.0,226.0,2017,551000.0,2017,5,1598,13.06,4.0,7
4.0,2.8203175677581295e-05,1.0,1,8.0,60.0,2014,254000.0,2014,5,1198,19.4,4.0,10
4.0,3.5544181417501956e-05,0.0,1,13.0,105.0,2020,1275000.0,2020,5,1497,14.0,4.0,4
4.0,0.0002,0.0,0,17.0,141.0,2022,1320000.0,2022,5,1197,16.5,4.0,2
4.0,3.571428571428572e-05,0.0,1,9.0,87.0,2011,270000.0,2011,5,1197,16.95,4.0,13
